Disponibilité intérieure,Aliments pour animaux,Semences,Pertes,Traitement,Nourriture,Autres utilisations (non alimentaire)
,,,,,,
1.0,,,,,1.0,
,,,,,,
,,,,,,
52.0,,,,,37.0,16.0
9.0,,,,,9.0,
7.0,,,,,6.0,
,,,,,,
6.0,,,,,6.0,
4.0,,,,,4.0,
1.0,,,,,1.0,
38.0,,,,,9.0,29.0
6.0,,,,,6.0,
5.0,,,,,,5.0
2.0,,,,,,2.0
46.0,,,,,41.0,6.0
,,,,,,
1.0,,,,,1.0,
1.0,,,,,1.0,
,,,,,,
,,,,,,
,,,,,,
784.0,,,3.0,,763.0,18.0
866.0,,,77.0,,770.0,19.0
1.0,,,,,1.0,
12.0,4.0,,1.0,,8.0,
37.0,2.0,,2.0,,32.0,
3.0,,,,,3.0,
,,,,,,
,,,,,,
90.0,,,,,90.0,
96.0,,,3.0,,91.0,3.0
113.0,,,6.0,,104.0,3.0
18.0,,,2.0,,15.0,
1.0,,,,,1.0,
160.0,,,22.0,,133.0,5.0
8.0,,,,7.0,,
,,,,,,
19.0,,,,,18.0,1.0
1.0,,,,,1.0,
53.0,,,,,53.0,
1.0,,,,,1.0,
,,,,,,
1.0,,,,,,
,,,,,,
73.0,,,,,73.0,
223.0,60.0,2.0,,,161.0,
21.0,3.0,,,,19.0,
1.0,,,,,,
75.0,,,13.0,,60.0,3.0
213.0,31.0,,3.0,,178.0,1.0
2.0,,,,,2.0,
45.0,,,16.0,,26.0,3.0
323.0,,,,,313.0,9.0
,,,,,,
22.0,,,2.0,,20.0,1.0
,,,,,,
243.0,,,,,237.0,6.0
,,,,,,
,,,,,,
1.0,,,,,1.0,
11.0,,,,,11.0,
24.0,,,1.0,,22.0,1.0
17.0,,,,,16.0,1.0
195.0,,,,,186.0,9.0
500.0,,,,,483.0,17.0
449.0,,,,,395.0,53.0
24.0,,,,,22.0,1.0
32.0,,,,,31.0,1.0
3.0,,,,,3.0,
3.0,,,,,3.0,
,,,,,,
1.0,,,,,,1.0
2.0,,,,,2.0,
2.0,,,,,2.0,
,,,,,,
1.0,,,,,1.0,
,,,,,,
3.0,,,,,3.0,
1.0,,,,,,
15.0,,,,,14.0,
38.0,,,,,32.0,6.0
3.0,,,,,3.0,
2.0,,,,,2.0,
2.0,,,,,2.0,
1.0,,,,,1.0,
1.0,,,,,1.0,
,,,,,,
5.0,,,,,5.0,
1.0,,,,,1.0,
1.0,,,,,1.0,
,,,,,,
12.0,,,,,12.0,
1.0,,,,,1.0,
16.0,,,,1.0,16.0,
,,,,,,
,,,,,,
1.0,,,,,1.0,
1.0,,,,,1.0,
1.0,,,,,1.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
4.0,,,,,4.0,
1.0,,,,,1.0,
,,,,,,
,,,,,,
2.0,,,,,2.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
21.0,,,,,21.0,
54.0,,,1.0,,54.0,
2.0,,,,,2.0,
3.0,,,,,3.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6.0,,,,,6.0,
3.0,,,,,3.0,
9.0,,,,,8.0,
2.0,,,,,2.0,
,,,,,,
14.0,,,,,14.0,
,,,,,,
,,,,,,
,,,,,,
1.0,,,,,1.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
7.0,,,,,7.0,
10.0,,,,,10.0,
1.0,,,,,1.0,
,,,,,,
4.0,,,,2.0,2.0,
8.0,,,,,8.0,
3.0,,,,,3.0,
1.0,,,,,1.0,
23.0,,,,,21.0,2.0
,,,,,,
1.0,,,,,1.0,
,,,,,,
9.0,,,,,9.0,
,,,,,,
1.0,,,,,1.0,
,,,,,,
1.0,,,,,1.0,
3.0,,,,,3.0,
,,,,,,
6.0,,,,,6.0,
41.0,,,,,40.0,1.0
21.0,,,,,21.0,
,,,,,,
7.0,,,,,7.0,
,,,,,,
125.0,50.0,,,,75.0,
68.0,,,4.0,2.0,63.0,
84.0,,,,,,84.0
8.0,,,,,8.0,
399.0,,,40.0,,359.0,
9.0,,,,,9.0,
51.0,,3.0,,15.0,33.0,
36.0,,,,,36.0,
293.0,,,15.0,3.0,275.0,
17.0,,,,,17.0,
657.0,,,,,654.0,3.0
1274.0,66.0,,19.0,,1188.0,1.0
111.0,,,,,111.0,1.0
32.0,,,,,31.0,
22.0,,,,,22.0,
121.0,,,,,121.0,
23.0,,,,,23.0,
33.0,,,,,33.0,
107.0,,,,,107.0,
7.0,,,,,7.0,
19.0,1.0,,,,18.0,
4.0,,,,,4.0,
74.0,,,,,68.0,6.0
14.0,,,,,14.0,
1338.0,,,68.0,16.0,1254.0,
,,,,,,
1.0,,,,,1.0,
1.0,1.0,,,,,
3.0,,,,,3.0,
147.0,33.0,,,,46.0,68.0
44.0,,,4.0,,39.0,
14.0,,,,,4.0,10.0
4.0,,,,,,4.0
6.0,,,,,6.0,
6.0,,,,,5.0,
8.0,,,,,6.0,2.0
21.0,,,,,,21.0
7.0,,,,,7.0,
242.0,,,,,89.0,153.0
1.0,,,,,1.0,
383.0,,,,,373.0,10.0
11.0,,,,,10.0,
10.0,,,,,10.0,
,,,,,,
47.0,47.0,,,,,
,,,,,,
1041.0,23.0,,20.0,,973.0,24.0
2583.0,,,211.0,,2372.0,
6.0,2.0,,,,4.0,
1320.0,1.0,,,,1.0,1317.0
4228.0,3800.0,1.0,43.0,158.0,195.0,30.0
17.0,,,,,17.0,
5.0,,,,,5.0,
,,,,,,
172.0,,,,,172.0,
178.0,,,,,178.0,
368.0,,26.0,37.0,,305.0,
106.0,,,5.0,,101.0,
3.0,,,,,3.0,
386.0,,,28.0,6.0,350.0,2.0
119.0,7.0,,,86.0,26.0,
,,,,,,
86.0,,,5.0,2.0,80.0,
215.0,98.0,,6.0,,109.0,1.0
89.0,,,,,89.0,
3.0,,,,,3.0,
20.0,,,,,,20.0
29.0,22.0,,,6.0,1.0,
20.0,,,,,20.0,
170.0,,,,,170.0,
72.0,,,,,72.0,
1073.0,938.0,,,,95.0,40.0
3.0,,,,,3.0,
186.0,,,7.0,29.0,149.0,
430.0,,2.0,3.0,53.0,162.0,211.0
52.0,,,5.0,,48.0,
151.0,,,13.0,,138.0,
1171.0,65.0,10.0,12.0,12.0,1070.0,1.0
,,,,,,
2460.0,,,4.0,2060.0,395.0,
122.0,98.0,,,,,24.0
616.0,,,,4.0,606.0,6.0
,,,,,,
650.0,,,,620.0,30.0,
40.0,,,1.0,34.0,4.0,
41.0,,,,,41.0,
139.0,,,13.0,,126.0,
21.0,,,,,21.0,
122.0,,,,,122.0,
920.0,,,,,918.0,2.0
750.0,,,,,750.0,
2.0,,,,,2.0,
16.0,,,,,16.0,
38.0,,,2.0,,36.0,
4797.0,,,,,4771.0,26.0
4481.0,,,,,4481.0,
154.0,,,,,,154.0
121.0,,,,,121.0,
1431.0,,,71.0,8.0,1351.0,
941.0,,,,,941.0,
11408.0,,292.0,476.0,5285.0,5355.0,
707.0,500.0,17.0,30.0,,160.0,
12579.0,,,2518.0,,10061.0,
149.0,,,,,149.0,
50583.0,,,,,50583.0,
125247.0,26628.0,4600.0,2990.0,316.0,87783.0,2929.0
9489.0,,,,,6989.0,2500.0
2806.0,,,57.0,,2749.0,
63.0,,,,,63.0,
1028.0,,,,,1028.0,
1914.0,,,192.0,,1722.0,
467.0,,,22.0,,445.0,
5331.0,,,,,5331.0,
,,,,,,
1203.0,659.0,122.0,53.0,,369.0,
159.0,,,8.0,,151.0,
96.0,,,,5.0,102.0,
117.0,,,,,117.0,
54643.0,,,3409.0,1637.0,49597.0,
2.0,,,,,2.0,
18137.0,3715.0,264.0,726.0,13341.0,1.0,91.0
12762.0,1555.0,261.0,383.0,10563.0,,
2235.0,1240.0,23.0,73.0,899.0,,
4166.0,,,,,2626.0,1551.0
251.0,80.0,74.0,32.0,,66.0,
1027.0,,,,,112.0,915.0
1584.0,,,,,784.0,800.0
1986.0,,,,,871.0,1115.0
40.0,,,,,37.0,3.0
131.0,,,,,131.0,
7211.0,,,,,2094.0,5117.0
254.0,,,,,254.0,
7009.0,,,124.0,,2582.0,4304.0
641.0,,,,,96.0,544.0
11658.0,,,,,2458.0,9200.0
105.0,,,,,105.0,
218.0,,,,,218.0,
749.0,,,,,199.0,550.0
,,,,,,
81.0,,,,,,80.0
-8.0,,,,,,
48271.0,1608.0,,1410.0,,45252.0,
500070.0,35582.0,,37638.0,,426850.0,
1891.0,791.0,114.0,52.0,,934.0,
33590.0,22868.0,,138.0,,2645.0,7940.0
212998.0,150000.0,1650.0,10250.0,6535.0,9391.0,35172.0
330.0,,,,,330.0,
1733.0,800.0,25.0,78.0,,829.0,
,,,,,,
12270.0,,,,,12270.0,
3551.0,,,57.0,,3494.0,
28662.0,,736.0,1438.0,,25999.0,489.0
21557.0,,,2230.0,,19327.0,
1.0,,,,,1.0,
21940.0,,,739.0,,21201.0,
3484.0,23.0,49.0,200.0,2997.0,208.0,7.0
55.0,,,,55.0,,
3591.0,,,374.0,,3218.0,
70420.0,33270.0,,3526.0,,33623.0,
4675.0,,,,,4675.0,
208.0,,,9.0,,199.0,
13086.0,,,,,13086.0,
3886.0,189.0,23.0,152.0,2618.0,,908.0
2597.0,1600.0,81.0,78.0,,838.0,
24226.0,,,,,22226.0,2000.0
1792.0,,,,,1792.0,
9065.0,8634.0,,,,431.0,
32.0,,,,,32.0,
36076.0,,,3972.0,2713.0,29391.0,
96068.0,22165.0,3100.0,4797.0,8400.0,57384.0,221.0
1744.0,98.0,,90.0,,1556.0,
11578.0,,,352.0,2270.0,8956.0,
133507.0,12052.0,4669.0,6393.0,,108321.0,2072.0
650.0,480.0,21.0,27.0,,122.0,
75081.0,9530.0,713.0,604.0,59162.0,5072.0,
3953.0,1900.0,20.0,178.0,,1855.0,
18947.0,,,,10329.0,8617.0,
440.0,,,,,440.0,
9257.0,2800.0,,,6457.0,,
129126.0,7183.0,,,121943.0,,
1030.0,,6.0,32.0,512.0,480.0,
1610.0,,,58.0,,1560.0,
46660.0,,,3539.0,,43122.0,
4337.0,,,,,4337.0,
7089.0,,,,,7089.0,
53268.0,,,,21.0,53247.0,
18285.0,,,,2.0,18284.0,
1635.0,1.0,,,,1635.0,
2075.0,,,,,2075.0,
176.0,,,,,176.0,
3.0,,,,,3.0,
,,,,,,
,,,,,,
1.0,,,,,1.0,
-1.0,,,,,1.0,
,,,,,,
1.0,,,,,1.0,
2.0,,,,,1.0,
10.0,,,1.0,,9.0,
,,,,,,
1.0,,,,,1.0,
48.0,,,,,37.0,11.0
114.0,2.0,2.0,1.0,,95.0,13.0
3.0,,,,,3.0,
1.0,,,,,1.0,
6.0,,,,,6.0,
4.0,,,,,4.0,
7.0,,,1.0,,6.0,
1.0,,,,,1.0,
3.0,,,,,3.0,
-1.0,,,,,,
,,,,,,
1.0,,,,,1.0,
11.0,,,,,12.0,
3.0,,,,,3.0,
22.0,,,2.0,,20.0,
,,,,,,
,,,,,,
1.0,1.0,,,,,
,,,,,,
9.0,,,,,,9.0
1.0,,,,,1.0,
1.0,,,,,1.0,1.0
,,,,,,
,,,,,,
3.0,,,,,3.0,
,,,,,,
6.0,,,,,4.0,2.0
,,,,,,
1.0,,,,,,1.0
,,,,,,
6.0,,,,,4.0,2.0
,,,,,,
9.0,,,,,8.0,
,,,,,,
,,,,,,
219.0,35.0,,19.0,,129.0,36.0
94.0,3.0,,9.0,,81.0,1.0
2.0,,,,,2.0,
,,,,,,
152.0,148.0,,,,4.0,1.0
1.0,,,,,1.0,
,,,,,,
,,,,,,
1.0,,,,,1.0,
4.0,,,,,4.0,
12.0,,1.0,1.0,,10.0,
10.0,,,,,10.0,
13.0,,,1.0,9.0,3.0,
25.0,,,4.0,,21.0,1.0
176.0,160.0,9.0,,7.0,,
5.0,,,1.0,,3.0,
,,,,,,
5.0,,,,,5.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
7.0,,,,,7.0,
38.0,36.0,1.0,,,1.0,
14.0,9.0,,,,5.0,
,,,,,,
10.0,,,,,10.0,
45.0,,6.0,4.0,,34.0,2.0
2.0,,,,,1.0,
22.0,,,,18.0,3.0,
6.0,,,,,6.0,
,,,,,,
,,,,,,
,,,,,,
31.0,,,,,30.0,1.0
,,,,,,
,,,,,,
,,,,,,
2.0,,,,,1.0,
1.0,,,,,1.0,
21.0,,,1.0,,20.0,
6.0,,,,,6.0,
7.0,,,,,7.0,
57.0,,,3.0,,44.0,10.0
34.0,,,2.0,,28.0,5.0
2.0,,,,,2.0,
18.0,,,,,18.0,
,,,,,,
140.0,,,,,140.0,
653.0,,,,,653.0,
111.0,,,,,,111.0
8.0,,,,,8.0,
641.0,,,161.0,,480.0,
,,,,,,
13.0,,,,,13.0,
10.0,,,,,10.0,
552.0,,,42.0,,510.0,
3231.0,333.0,,333.0,,2566.0,
21.0,,,,,21.0,
2018.0,,,,,2018.0,
1464.0,,,21.0,3.0,1439.0,
110.0,,,,,110.0,
,,,,,,
89.0,,,7.0,,82.0,
4.0,,,,,4.0,
118.0,,,,,118.0,
121.0,,,,,109.0,12.0
4.0,,,,,4.0,
1.0,,,,,1.0,
16.0,12.0,,,,3.0,
,,,,,,
34.0,,,,,32.0,3.0
45.0,,,2.0,,42.0,
2370.0,,,206.0,,2164.0,
,,,,,,
1.0,,,,,1.0,
36.0,,1.0,,34.0,,
2.0,,,,2.0,,
60.0,,,,,51.0,9.0
165.0,,8.0,2.0,,155.0,
13.0,,,,4.0,,9.0
7.0,,,,,7.0,
,,,,,,
4.0,,,,,4.0,
,,,,,,
13.0,,,,,13.0,
24.0,,,,,24.0,
853.0,,,,,335.0,518.0
33.0,,,,,33.0,
310.0,,,,,276.0,35.0
1.0,,,,,1.0,
37.0,,,,,25.0,12.0
,,,,,,
2.0,,,,,,2.0
363.0,47.0,,36.0,,279.0,
6483.0,783.0,,452.0,,5242.0,7.0
1036.0,45.0,,79.0,,913.0,
74.0,,,1.0,,73.0,
2257.0,60.0,,67.0,22.0,1858.0,250.0
5340.0,3770.0,10.0,81.0,22.0,1457.0,
2.0,,,,,2.0,
,,,,,,
,,,,,,
2.0,,,,,2.0,
8.0,,,,,8.0,
668.0,,102.0,45.0,,521.0,
522.0,,,97.0,,425.0,
1.0,,,,,1.0,
398.0,,,32.0,,366.0,
307.0,2.0,1.0,5.0,242.0,58.0,
224.0,,,,224.0,,
1.0,,,,,1.0,
,,,,,,
6.0,,,,,6.0,
-3.0,,,,,,
,,,,,,
1.0,,,,,,1.0
84.0,,1.0,1.0,,81.0,
152.0,,,,,152.0,
7.0,,,,,7.0,
209.0,83.0,,,,126.0,
,,,,,,
109.0,,,,,109.0,
2247.0,213.0,85.0,258.0,73.0,1616.0,2.0
72.0,,,,,72.0,
72.0,,,7.0,,65.0,
1562.0,29.0,67.0,14.0,98.0,1354.0,
1.0,1.0,,,,,
436.0,,2.0,4.0,386.0,43.0,
541.0,525.0,,16.0,,,
1623.0,20.0,,,,1603.0,
1291.0,80.0,,27.0,,1184.0,
35.0,,,,,35.0,
34870.0,108.0,1122.0,,30694.0,,2946.0
3.0,,,,3.0,,
2.0,,,,,2.0,
732.0,,,27.0,,704.0,
10.0,,,,,10.0,
807.0,,,17.0,,790.0,
314.0,,,,,314.0,
1332.0,,,,,1332.0,
7.0,,,,,7.0,
17.0,,,,,17.0,
23.0,,,,,23.0,
11.0,,,,,11.0,
1.0,,,,,1.0,
3.0,,,,,,3.0
2.0,,,,,2.0,
5.0,,,,,5.0,
,,,,,,
23.0,,2.0,1.0,7.0,13.0,
1.0,,,,,1.0,
104.0,,,10.0,,94.0,
86.0,,,9.0,,78.0,
,,,,,,
168.0,,,,,168.0,
181.0,,,3.0,,178.0,
3.0,,,,,3.0,
,,,,,,
2.0,,,,,1.0,1.0
,,,,,,
6.0,,,,,6.0,
4.0,,,,,4.0,
1.0,,,,,1.0,
,,,,,,
2.0,2.0,,,,,
,,,,,,
1.0,,,,,1.0,
4.0,,,,4.0,,
88.0,,,4.0,,84.0,
,,,,,,
,,,,,,
9.0,,,,,9.0,
4.0,,,,,3.0,1.0
1.0,,,,,1.0,
3.0,,,,,3.0,
,,,,,,
,,,,,,
,,,,,,
73.0,,,,,35.0,38.0
,,,,,,
1.0,,,,,1.0,
,,,,,,
,,,,,,
,,,,,,
16.0,,,2.0,,14.0,
48.0,,,,,48.0,
143.0,,,4.0,,139.0,
,,,,,,
1250.0,,,150.0,,1100.0,
17.0,,,1.0,,16.0,
,,,,,,
14.0,14.0,,,,,
,,,,,,
,,,,,,
,,,,,,
4.0,,,1.0,,3.0,
9.0,,,1.0,,8.0,
,,,,,,
13.0,,,,,13.0,
41.0,,,,23.0,18.0,
5.0,,,,,5.0,
5.0,,,,,5.0,
9.0,,,1.0,,8.0,
35.0,,,,,35.0,
,,,,,,
,,,,,,
4.0,,,,,4.0,
7.0,,,,,6.0,
36.0,,,,,36.0,
5.0,,,,,5.0,
41.0,,,,,41.0,
,,,,,,
3.0,,,,,3.0,
11.0,,1.0,1.0,,9.0,
58.0,,,7.0,,51.0,
2.0,,,,,2.0,
95.0,,,2.0,20.0,73.0,
,,,,,,
,,,,,,
,,,,,,
77.0,,,,,77.0,
650.0,,,145.0,500.0,5.0,
,,,,,,
,,,,,,
20.0,,,,,19.0,
2.0,,,,,2.0,
19.0,,,,,19.0,
11.0,,,,,11.0,
58.0,,,,,58.0,
41.0,,,,,41.0,
5.0,,,,,5.0,
1.0,,,,,1.0,
9.0,,,,,9.0,
,,,,,,
1.0,,,,,,1.0
3.0,,,,,3.0,
460.0,,,483.0,,142.0,
,,,,,,
3.0,,,,,3.0,
7.0,,,,,7.0,
248.0,186.0,,60.0,,2.0,
98.0,5.0,,15.0,,78.0,
6.0,,,,,6.0,
62.0,,,,,62.0,
199.0,,,8.0,,192.0,
39.0,,,,,39.0,
,,,,,,
14.0,,,1.0,,13.0,
1.0,,,,,1.0,
32.0,,,,,32.0,
9.0,,,1.0,2.0,6.0,
4.0,,,,,4.0,
,,,,,,
1.0,1.0,,,,,
,,,,,,
9.0,,,,,9.0,
5.0,,,,,5.0,
185.0,,,18.0,,179.0,
,,,,,,
,,,,,,
,,,,,,
1.0,,,,,1.0,
27.0,,,,,19.0,8.0
51.0,,,2.0,,49.0,
5.0,,,,,,5.0
,,,,,,
,,,,,,
2.0,,,,,2.0,
,,,,,,
,,,,,,
1.0,,,,,1.0,
135.0,,,,,31.0,104.0
,,,,,,
35.0,,,,,32.0,2.0
,,,,,,
4.0,,,,,4.0,
,,,,,,
,,,,,,
6.0,,2.0,,,4.0,
943.0,,,54.0,,893.0,5.0
89.0,,,5.0,,93.0,
2.0,,,,,2.0,
32.0,,,7.0,,22.0,3.0
706.0,606.0,,34.0,,52.0,13.0
1.0,,,,,1.0,
1.0,1.0,,,,,
,,,,,,
2.0,,,,,2.0,
4.0,,,,,4.0,
60.0,,7.0,1.0,,51.0,
41.0,,,4.0,,37.0,
1.0,,,,,1.0,
195.0,,,52.0,,143.0,
27.0,,,,12.0,15.0,
62.0,,,,52.0,,10.0
21.0,,,,,20.0,1.0
,,,,,,
3.0,,,,,3.0,
-1.0,,,,,,
,,,,,,
14.0,1.0,,,13.0,,
,,,,,,
29.0,,,,,29.0,
3.0,,,,,3.0,
22.0,2.0,,,,20.0,
1.0,,,,,1.0,
41.0,,,,,41.0,
103.0,2.0,3.0,6.0,,75.0,17.0
17.0,,,,,20.0,
13.0,,,,,13.0,
233.0,,4.0,6.0,,223.0,
,,,,,,
251.0,,,,244.0,8.0,
1.0,1.0,,,,,
234.0,,,,,234.0,
12.0,,,,,12.0,
,,,,,,
4850.0,8.0,36.0,295.0,4511.0,,
,,,,,,
1.0,,,,,1.0,
118.0,,,6.0,,112.0,
,,,,,,
74.0,,,,,74.0,
51.0,,,,,50.0,1.0
119.0,,,,,119.0,
,,,,,,
10.0,,,,,10.0,
1.0,,,,,1.0,
36.0,,,,,9.0,27.0
1.0,,,,,1.0,
5.0,,,,,,5.0
-7.0,,,,,,
4.0,,,,,4.0,
,,,,,,
3.0,,,,,3.0,
58.0,53.0,4.0,1.0,,1.0,
54.0,,,3.0,,51.0,
,,,,,,
5.0,,,,,5.0,
334.0,,,,,334.0,
680.0,160.0,34.0,29.0,,457.0,
14.0,,,,,14.0,
1.0,,,,,1.0,
25.0,,,,,25.0,
8.0,,,,,8.0,
12.0,,,,,12.0,
1.0,,,,,1.0,
2.0,,,,,2.0,
,,,,,,
55.0,52.0,,,,3.0,
,,,,,,
39.0,,,,,39.0,
15.0,,,,,15.0,
111.0,,,5.0,18.0,88.0,
,,,,,,
25.0,,,1.0,23.0,1.0,
,,,,,,
38.0,2.0,,4.0,32.0,,
45.0,,,,4.0,36.0,5.0
7.0,5.0,,,,2.0,
5.0,,,,,2.0,3.0
,,,,,,
,,,,,,
3.0,,,,,3.0,
2.0,,,,,,2.0
37.0,,,,,,37.0
9.0,,,,,9.0,
16.0,,,,,7.0,9.0
,,,,,,
20.0,,,,,16.0,4.0
,,,,,,
50.0,,,,,20.0,30.0
,,,,,,
,,,,,,
1018.0,12.0,,9.0,,991.0,6.0
265.0,13.0,,12.0,,240.0,
3.0,2.0,,,,1.0,
,,,,,,
1798.0,1602.0,4.0,38.0,111.0,42.0,
3.0,,,,,3.0,
1.0,,,,,,
,,,,,,
3.0,,,,,3.0,
14.0,,,,,13.0,
39.0,,2.0,,,36.0,
37.0,,,2.0,,36.0,
36.0,,,,5.0,32.0,
77.0,,,6.0,,71.0,
205.0,119.0,8.0,5.0,71.0,3.0,
3.0,,,,,3.0,
,,,,,,
16.0,,,,,16.0,
1.0,,,,,1.0,
,,,,,,
7.0,1.0,,,2.0,2.0,2.0
,,,,,,
6.0,,,,,6.0,
5.0,,,,,5.0,
41.0,,,,,41.0,
,,,,,,
120.0,,,7.0,,112.0,
213.0,4.0,15.0,10.0,,182.0,3.0
,,,,,,
191.0,,,4.0,66.0,121.0,
11.0,,,,,11.0,
6.0,2.0,,,,3.0,
97.0,3.0,2.0,5.0,87.0,,
2.0,2.0,,,,,
160.0,,,,16.0,144.0,
1312.0,,,,1312.0,,
,,,,,,
,,,,,,
73.0,,,2.0,,70.0,
7.0,,,,,7.0,
53.0,,,,,53.0,
184.0,,,,,184.0,
37.0,,,,,37.0,
4.0,,,,,4.0,
59.0,,,,,59.0,
,,,,,,
22.0,,,,,22.0,
3.0,,,,,2.0,
,,,,,,
,,,,,,
83.0,,,8.0,,75.0,
,,,,,,
4.0,,,,1.0,2.0,
1.0,1.0,,,,,
150.0,8.0,,9.0,,134.0,
508.0,,,5.0,,503.0,
3.0,,,,,3.0,
267.0,,,,,267.0,
786.0,112.0,,58.0,,615.0,1.0
90.0,,,,,90.0,
1.0,,,,,1.0,
18.0,,,1.0,,18.0,
1.0,,,,,1.0,
5.0,,,,,5.0,
65.0,,,6.0,,58.0,
5.0,,,,,5.0,
,,,,,,
1.0,,,,,1.0,
,,,,,,
2.0,,,,,2.0,
6.0,,,,,6.0,
786.0,,,61.0,,724.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
11.0,,,,,8.0,2.0
177.0,,3.0,,,175.0,
6.0,,,,,1.0,5.0
,,,,,,
1.0,,,,,1.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1.0,,,,,1.0,
,,,,,,
87.0,,,,,80.0,7.0
,,,,,,
1.0,,,,,1.0,
,,,,,,
,,,,,,
378.0,100.0,,,,278.0,
1185.0,,,29.0,,1126.0,30.0
1660.0,595.0,,156.0,,909.0,
72.0,,,1.0,,64.0,6.0
514.0,180.0,,23.0,,285.0,26.0
1196.0,797.0,4.0,60.0,16.0,318.0,1.0
1.0,,,,,1.0,
,,,,,,
,,,,,,
3.0,,,,,3.0,
,,,,,,
119.0,,2.0,6.0,,111.0,
127.0,,,13.0,,115.0,
1.0,,,,,1.0,
83.0,,,5.0,,79.0,
35.0,,,,35.0,,
37.0,,,3.0,,33.0,
396.0,40.0,,18.0,,310.0,29.0
10.0,,,,,10.0,
,,,,,,
,,,,,,
304.0,304.0,,,,,
27.0,,,,,27.0,
4.0,,,,,4.0,
16.0,3.0,,,,13.0,
,,,,,,
4.0,,,,,4.0,
119.0,2.0,3.0,2.0,,107.0,5.0
186.0,27.0,,19.0,,140.0,
22.0,,,2.0,18.0,2.0,
905.0,96.0,8.0,38.0,,763.0,
,,,,,,
156.0,5.0,,,80.0,71.0,
6.0,5.0,,,,,
617.0,,,,,596.0,21.0
16100.0,1800.0,,,14300.0,,
,,,,,,
,,,,,,
681.0,,,68.0,,614.0,
14.0,,,,,14.0,
72.0,,,,,72.0,
223.0,,,,,223.0,
227.0,,,,,227.0,
71.0,,,,,71.0,
17.0,,,,,17.0,
2.0,,,,,2.0,
63.0,,,,,63.0,
41.0,,,7.0,20.0,13.0,
6.0,,,,,,6.0
3.0,,,,,3.0,
46.0,,,29.0,,17.0,
,,,,,,
66.0,,4.0,6.0,6.0,49.0,
3.0,,,,,3.0,
109.0,,,78.0,,32.0,
1624.0,,,325.0,,1299.0,
,,,,,,
337.0,,,,,337.0,
433.0,,,11.0,,421.0,
,,,,,,
478.0,,,,,478.0,
16.0,,,,,15.0,1.0
,,,,,,
,,,,,,
139.0,,,,80.0,59.0,
1.0,,,,,1.0,
1.0,,,,,1.0,
23.0,,,2.0,,20.0,
1.0,,,,,1.0,
8.0,,,,,8.0,
341.0,,,58.0,,283.0,
157.0,,,13.0,9.0,135.0,
,,,,,,
2.0,,,,,2.0,
175.0,,6.0,,169.0,,
,,,,,,
4.0,,,,,3.0,
36.0,,2.0,,,34.0,
93.0,,,,6.0,8.0,79.0
30.0,,,,,30.0,
2.0,,,,,2.0,
,,,,,,
24.0,,,,,24.0,
,,,,,,
,,,,,,
195.0,,,,,182.0,13.0
13.0,,,,,13.0,
1.0,,,,,1.0,
,,,,,,
3.0,,,,,3.0,
,,,,,,
,,,,,,
5732.0,229.0,1146.0,573.0,,3783.0,
131.0,,,2.0,,129.0,
775.0,,,65.0,,710.0,
15.0,,1.0,1.0,,13.0,
2436.0,115.0,,122.0,,2199.0,1.0
663.0,67.0,36.0,109.0,,447.0,5.0
1.0,,,,,1.0,
51.0,,1.0,6.0,14.0,31.0,
,,,,,,
,,,,,,
118.0,,,5.0,,113.0,
46.0,,4.0,2.0,,40.0,
,,,,,,
,,,,,,
48.0,,,5.0,10.0,33.0,
36.0,,,,36.0,,
99.0,,,,99.0,,
24.0,,,,,24.0,
48.0,,,7.0,,41.0,
7.0,,,,,7.0,
115.0,,,6.0,,24.0,85.0
,,,,,,
36.0,,,,34.0,2.0,
2.0,,,,,2.0,
11.0,,,,,11.0,
163.0,,,,,163.0,
133.0,,,,,133.0,
,,,,,,
8.0,,,,,8.0,
8.0,,,,,8.0,
88.0,,15.0,7.0,,66.0,
1.0,,,,,1.0,
1677.0,133.0,28.0,198.0,25.0,1291.0,
,,,,,,
1.0,,,,,1.0,
51.0,9.0,2.0,6.0,,35.0,
201.0,,,,,201.0,
,,,,,,
1969.0,,,20.0,1921.0,28.0,
3.0,,,,,3.0,
2.0,,,,,2.0,
105.0,,,6.0,,100.0,
14.0,,,,,14.0,
35.0,,,,,35.0,
36.0,,,,,36.0,
49.0,,,,,49.0,
172.0,,,,,172.0,
27.0,,,,,27.0,
5.0,,,,,5.0,
57.0,18.0,,,,38.0,
2.0,,,,,2.0,
126.0,,,,,,126.0
-23.0,,,,,,
22.0,,,,,22.0,
2.0,,,,,,1.0
5.0,,,,2.0,3.0,
327.0,252.0,12.0,9.0,,53.0,
84.0,,,5.0,,80.0,
1.0,,,,,1.0,
21.0,,,,,10.0,11.0
346.0,,,,,346.0,
4074.0,3288.0,107.0,124.0,,551.0,4.0
60.0,,,,,19.0,41.0
5.0,,,,,5.0,
54.0,,,,,54.0,
