Disponibilité intérieure,Aliments pour animaux,Semences,Pertes,Traitement,Nourriture,Autres utilisations (non alimentaire)
262.0,75.0,29.0,23.0,,131.0,5.0
,,,,,,
209.0,,,2.0,54.0,153.0,
25.0,,,,,25.0,
3.0,,,1.0,,2.0,
,,,,,,
,,,,,,
69.0,,,,,56.0,13.0
40.0,1.0,,,39.0,,
,,,,,,
,,,,,,
207.0,,,22.0,,185.0,
49.0,,,,,49.0,
71.0,,,,,71.0,
35.0,,,,,35.0,
42.0,,,,,42.0,
,,,,,,
25.0,,,,,25.0,
,,,,,,
57.0,,,,,57.0,
9.0,,,,,9.0,
3.0,,,,,,3.0
22.0,,,,,22.0,
10.0,,,,,10.0,
,,,,,,
55.0,,,,44.0,11.0,
122.0,107.0,8.0,6.0,,,
274.0,,,27.0,,247.0,
,,,,,,
20.0,,,,,20.0,
188.0,,,,,188.0,
9461.0,545.0,153.0,672.0,,7270.0,820.0
7.0,,,,,7.0,
,,,,,,
129.0,,,,,129.0,
2.0,,,,,2.0,
83.0,,,8.0,,75.0,
3.0,,,,,3.0,
5.0,,,,,5.0,
4.0,2.0,,,,1.0,
855.0,,,34.0,,821.0,
24.0,,,,,24.0,
41.0,,,,,41.0,
1202.0,,,61.0,,1141.0,
,,,,,,
49.0,,,5.0,42.0,1.0,
,,,,,,
3.0,,,,3.0,,
10.0,,,,,10.0,1.0
64.0,,,3.0,,61.0,
81.0,,,,,78.0,3.0
,,,,,,
20.0,,,,,20.0,
68.0,,,,,68.0,
1.0,,,,,1.0,
18.0,,,,,18.0,
2.0,,,,,2.0,
82.0,,,,,29.0,52.0
,,,,,,
293.0,,,,,293.0,
,,,,,,
77.0,,,,,77.0,
,,,,,,
,,,,,,
5705.0,,,156.0,,5549.0,
4542.0,,,398.0,,4147.0,
277.0,14.0,4.0,12.0,,247.0,
,,,,,,
3252.0,2400.0,,225.0,,627.0,
7.0,,,,,7.0,
1.0,1.0,,,,,
,,,,,,
,,,,,,
71.0,,,,,71.0,
348.0,,21.0,10.0,,316.0,
1344.0,,,67.0,,1277.0,
591.0,,,,400.0,191.0,
1174.0,,,58.0,,1116.0,
2052.0,1280.0,92.0,121.0,42.0,517.0,
,,,,,,
3.0,,,,,3.0,
,,,,,,
17.0,,,,,17.0,
20.0,,,1.0,,19.0,
,,,,,,
5.0,1.0,,,,,3.0
19.0,,,,,18.0,
13.0,,,,,13.0,
17.0,,,,,17.0,
100.0,,,,,100.0,
4.0,,,,,4.0,
572.0,,,28.0,,544.0,
5087.0,,171.0,1773.0,,2540.0,603.0
,,,,,,
605.0,,,10.0,83.0,512.0,
118.0,2.0,,,,117.0,
,,,,,,
,,,,,,
3.0,,,,,3.0,
1279.0,,,,,1089.0,190.0
,,,,,,
,,,,,,
5.0,,,,,5.0,
13.0,,,,,13.0,
1151.0,,,78.0,,1073.0,
301.0,,,,,301.0,
220.0,,,,,220.0,
,,,,,,
291.0,,,,,291.0,
14.0,,,,,14.0,
55.0,,,,23.0,,32.0
10.0,,,,,10.0,
70.0,1.0,,,,62.0,7.0
188.0,,,,,188.0,
1010.0,,,,,,1010.0
-32.0,,,,,,
289.0,,,15.0,,273.0,
,,,,,,
105.0,,,,,105.0,
818.0,652.0,20.0,19.0,,127.0,
